,accuracy,f1metric,precision,recall
0,0.6914825972368741,0.5547840617201943,0.6747645994029691,0.47161904761904766
1,0.707958638907317,0.6377188191172318,0.6458985070002202,0.6300952380952382
2,0.710443107954772,0.6457612505284189,0.6445974815872766,0.649904761904762
3,0.7207012099702613,0.5966449998517013,0.7382064234753023,0.5196190476190476
4,0.7346884323556175,0.5998823177035686,0.780655493179441,0.48723809523809525
5,0.7457240185078443,0.6244320846148199,0.7857563663255942,0.5180952380952382
6,0.7413724516368374,0.6124642485885379,0.7893608168802851,0.5009523809523809
7,0.7471232241061168,0.6382405564364222,0.7665002637743188,0.547047619047619
8,0.7510088321907917,0.6410947417103683,0.7782413544444828,0.5451428571428572
9,0.7508531903555231,0.6446390739172998,0.7714681982083449,0.5539047619047619
10,0.7486771048201841,0.6398478787468378,0.771277408763842,0.547047619047619
11,0.7536507556725287,0.6517405856660208,0.7715756718790433,0.5645714285714286
12,0.7612665716864784,0.666788667081863,0.7744253242680811,0.5855238095238094
13,0.761422213521747,0.6628000168279808,0.7834811209751237,0.574857142857143
14,0.7592470947058816,0.663263502644296,0.7727431278009155,0.5813333333333334
15,0.7612677800858205,0.6603321262210053,0.7886338524567368,0.5687619047619048
16,0.7634427780617516,0.6755778260333691,0.7682193453562018,0.6034285714285714
17,0.7646868251844924,0.6740612638645661,0.775856012772182,0.5961904761904762
18,0.7687281959443701,0.6793426444329398,0.78253398250591,0.6003809523809525
19,0.7632893113452989,0.6716836483310689,0.7738096184065716,0.5935238095238095
20,0.7690388754152362,0.6824965797374793,0.7773648488924587,0.6087619047619047
21,0.7685719499094305,0.6798421671636004,0.7807139836129914,0.6022857142857143
22,0.7685719499094305,0.6869397850096006,0.7669904710642721,0.6224761904761904
23,0.7659303889474962,0.6805325408266152,0.7680411601413327,0.6110476190476192
24,0.7671720192715527,0.6852099464857551,0.7636226961958249,0.6217142857142857
25,0.7696609593965738,0.6916387755284347,0.7627035446313164,0.6331428571428572
26,0.7634430197416201,0.6829574366007956,0.7542205332829593,0.6243809523809525
27,0.7663973144533021,0.6828567868228929,0.7648232072726955,0.617904761904762
28,0.765774988792096,0.6923296856833273,0.7461086371127019,0.6460952380952381
29,0.7663948976546177,0.6883515859890791,0.7558722056837539,0.6331428571428571
30,0.7651518172513507,0.6864520592976281,0.7549401026059117,0.6308571428571429
31,0.7696603551969027,0.6914365615955714,0.7619844316002444,0.633904761904762
32,0.7609563755753491,0.6827383771971332,0.7440383197850663,0.6312380952380952
33,0.7656187427571564,0.6875357945568369,0.7538787474092918,0.6323809523809524
34,0.7657769222310435,0.6934274010823623,0.7448597858961057,0.6502857142857142
35,0.7640652245628917,0.6911006070211554,0.7412704966858144,0.6491428571428572
36,0.7691946380904391,0.6942154348392998,0.756114689064432,0.6422857142857143
37,0.7656197094766302,0.6895485560545992,0.7499703485008508,0.6388571428571429
38,0.7656209178759724,0.6947307744829441,0.741610848564313,0.6537142857142857
39,0.7653087883258956,0.6884953980380486,0.7509264465951335,0.6358095238095238
40,0.7640655870826943,0.6900103247895821,0.7432635796318495,0.6445714285714287
41,0.7611099631317361,0.6905273988498419,0.7334290024695608,0.652952380952381
42,0.7656189844370249,0.697342017897449,0.7374905107125826,0.6624761904761904
43,0.7667061813251548,0.6976261580806057,0.740604894950342,0.6598095238095237
44,0.7626655356048826,0.6940052943519502,0.7326519394111284,0.6598095238095237
45,0.7643759040337578,0.6927037586239125,0.7400996304000996,0.6514285714285715
46,0.7653079424463561,0.6965532936602635,0.7369833292789221,0.6605714285714287
47,0.7695055592411735,0.7005752977918165,0.7461048399773698,0.660952380952381
48,0.7716820072963152,0.709829141107353,0.7378360052494793,0.6845714285714285
49,0.7629769401153538,0.6940190181023564,0.7331002147965255,0.6594285714285715
50,0.76391006608736,0.6964625600451949,0.7323702096333404,0.664
51,0.7645331167881713,0.6971784994336732,0.7343764003154846,0.6643809523809523
52,0.7684160663942934,0.7016548116768984,0.7393574469654632,0.6681904761904762
53,0.7649985922147663,0.6965210937683493,0.73601132769999,0.6613333333333333
54,0.7628214191200196,0.694974523060365,0.7319117345848036,0.6620952380952382
55,0.7561388499180101,0.6907851228915765,0.7164202826297668,0.6678095238095239
56,0.760180341517822,0.6965518812305901,0.7199617937751357,0.675047619047619
57,0.76857279578897,0.7054473376857088,0.7348040382409964,0.6796190476190477
58,0.7640630494440759,0.697027060362857,0.7321391155026509,0.6655238095238095
59,0.7604907793088197,0.6941986475082648,0.7249759681706636,0.6666666666666667
60,0.7637518866134729,0.7031383074419894,0.7224486344095199,0.6857142857142857
61,0.7631322194308197,0.6977857094402283,0.7273074349282977,0.6708571428571429
62,0.7603341707540774,0.6933799025903052,0.724844228718403,0.6655238095238095
63,0.7657745054323593,0.6997073467710073,0.7335927098275652,0.668952380952381
64,0.7567598463399398,0.6896013197740201,0.7198782638667266,0.6628571428571428
65,0.7690373044960914,0.7051054268666304,0.7365282923081784,0.676952380952381
66,0.7632870153865488,0.6976662780914356,0.7286609681700948,0.6697142857142857
67,0.7584700939288809,0.6871105605466229,0.7300096210019171,0.649904761904762
68,0.7649991964144375,0.696698701868908,0.7357326040413312,0.6620952380952381
69,0.7592475780656185,0.6988459745635229,0.7143504192633845,0.6841904761904762
70,0.7598684536476139,0.6954249914571625,0.7208052779162569,0.6719999999999999
71,0.759712690972411,0.6964750134163861,0.718308474135156,0.6761904761904762
72,0.757848372467346,0.6932317296702177,0.7175396336496233,0.6708571428571429
73,0.7597129326522796,0.6944438358982781,0.7211630293073189,0.6700952380952381
74,0.7564490460291393,0.7000198944196127,0.7048286163841543,0.6971428571428572
75,0.760647387863562,0.6958924030763372,0.7229970628946267,0.6712380952380952
76,0.7612670550462153,0.6971739784833646,0.7226390018995709,0.6746666666666666
77,0.7578487349871486,0.6940751950806405,0.7168911662310667,0.6735238095238094
78,0.7541194937773475,0.6916776158194458,0.7083484023050546,0.6761904761904761
79,0.7564520670274948,0.695520322256134,0.7106051622300082,0.6815238095238094
80,0.7704378393336403,0.712604209307521,0.7292218742431339,0.6982857142857143
81,0.7586260982839521,0.6955758366074866,0.716700655177845,0.6758095238095239
82,0.761424509480497,0.7017353938048141,0.7163309767761893,0.688
83,0.7553616074611409,0.6931670253417149,0.7100177925424408,0.6773333333333332
84,0.758935569355476,0.7001636930896856,0.7108043364256499,0.6899047619047619
85,0.7634430197416201,0.7060155048972666,0.7171973569201243,0.696
