,accuracy,f1metric,precision,recalll
0,0.7040721168790799,0.5672727272727273,0.667379679144385,0.4932806324110672
1,0.7059372085794218,0.6246031746031746,0.6270916334661355,0.6221343873517786
2,0.7140192726142369,0.5238095238095237,0.7586206896551724,0.4
3,0.7342244327012745,0.5722861430715357,0.779291553133515,0.45217391304347826
4,0.7454149829033261,0.6101856258924322,0.7667464114832536,0.5067193675889328
5,0.7559838358719304,0.6367422489588154,0.7678571428571429,0.5438735177865612
6,0.7559838358719304,0.6367422489588154,0.7678571428571429,0.5438735177865612
7,0.755362138638483,0.6374942422846614,0.7637969094922737,0.5470355731225296
8,0.7578489275722723,0.6495726495726496,0.7536534446764092,0.5707509881422925
9,0.7622008082064035,0.6492434662998624,0.7729257641921398,0.5596837944664032
10,0.7594031706558906,0.6410018552875695,0.7755331088664422,0.5462450592885375
11,0.7569163817221013,0.6438979963570128,0.7593984962406015,0.5588932806324111
12,0.7622008082064035,0.6524307133121309,0.7670940170940171,0.5675889328063242
13,0.766241840223811,0.6544117647058824,0.7815587266739846,0.5628458498023715
14,0.7671743860739819,0.6687306501547988,0.7590361445783133,0.5976284584980237
15,0.7646875971401927,0.6588553402433528,0.7662473794549266,0.5778656126482213
16,0.7712154180913895,0.6808326105810928,0.7540826128722382,0.6205533596837944
17,0.7699720236244949,0.6845694799658993,0.7428307123034228,0.6347826086956522
18,0.7668635374572583,0.6722027972027973,0.7517106549364614,0.607905138339921
19,0.7634442026732982,0.6704200952793418,0.7413793103448276,0.6118577075098814
20,0.7684177805408766,0.6669646848457755,0.7674897119341564,0.5897233201581028
21,0.7671743860739819,0.667258996001777,0.7616632860040567,0.5936758893280633
22,0.7665526888405346,0.6591012256014526,0.7739872068230277,0.5739130434782609
23,0.7631333540565745,0.6517367458866545,0.7724810400866738,0.5636363636363636
24,0.7677960833074293,0.6666666666666666,0.7653688524590164,0.5905138339920949
25,0.7649984457569163,0.6799322607959357,0.731996353691887,0.6347826086956522
26,0.7634442026732982,0.6481738326398521,0.7806236080178174,0.5541501976284585
27,0.7730805097917314,0.6914623837700762,0.742960944595822,0.6466403162055336
28,0.7740130556419024,0.7067365873336022,0.7215815485996705,0.6924901185770751
29,0.7674852346907056,0.6603088101725704,0.775880469583778,0.574703557312253
30,0.7649984457569163,0.6591523895401262,0.7670514165792235,0.5778656126482213
31,0.7733913584084551,0.7023274806043283,0.7263513513513513,0.6798418972332015
32,0.7674852346907056,0.6704845814977973,0.7572139303482587,0.6015810276679842
33,0.7727696611750078,0.6864006864006864,0.7504690431519699,0.6324110671936759
34,0.7718371153248368,0.675221238938053,0.7668341708542713,0.6031620553359683
35,0.7634442026732982,0.6846249481972648,0.7195121951219512,0.6529644268774704
36,0.7618899595896799,0.6993720565149136,0.6944660950896336,0.7043478260869566
37,0.7709045694746658,0.6873143826898601,0.7417582417582418,0.6403162055335968
38,0.7618899595896799,0.6762468300929839,0.7266121707538601,0.6324110671936759
39,0.7625116568231272,0.674061433447099,0.732159406858202,0.6245059288537549
40,0.7659309916070873,0.6724662896911701,0.7475822050290135,0.6110671936758894
41,0.7615791109729562,0.668682505399568,0.7371428571428571,0.6118577075098814
42,0.7668635374572583,0.684873949579832,0.7309417040358744,0.6442687747035574
43,0.7656201429903637,0.6914893617021278,0.7167090754877015,0.6679841897233202
44,0.7597140192726143,0.6825462012320329,0.7102564102564103,0.6569169960474308
45,0.7634442026732982,0.6822546972860126,0.7230088495575221,0.6458498023715415
46,0.7603357165060616,0.6678155967255494,0.7339015151515151,0.6126482213438735
47,0.7547404414050357,0.6732919254658385,0.7069565217391305,0.6426877470355731
48,0.755362138638483,0.6716729244889444,0.7111307420494699,0.6363636363636364
49,0.7681069319241529,0.6803770351328192,0.7427502338634238,0.6276679841897234
50,0.76530929437364,0.6755479157713794,0.7401129943502824,0.6213438735177865
51,0.7590923220391669,0.6706332341691458,0.7251838235294118,0.6237154150197628
52,0.764376748523469,0.672428694900605,0.7416587225929456,0.6150197628458498
53,0.7534970469381411,0.6886533176285827,0.6840873634945398,0.6932806324110672
54,0.7606465651227852,0.6869918699186992,0.7071129707112971,0.6679841897233202
55,0.7665526888405346,0.6918342224045959,0.7192832764505119,0.666403162055336
56,0.7569163817221013,0.6815960912052117,0.7027707808564232,0.6616600790513834
57,0.7506994093876282,0.6737184703010578,0.694048616932104,0.6545454545454545
58,0.7547404414050357,0.6730211355159551,0.7073170731707317,0.641897233201581
59,0.747280074603668,0.6616729088639202,0.6985940246045694,0.6284584980237155
60,0.7556729872552067,0.6746688741721854,0.7080799304952216,0.6442687747035574
61,0.7671743860739819,0.6870037609694943,0.7287234042553191,0.649802371541502
62,0.7469692259869444,0.6751795690343176,0.6817082997582594,0.6687747035573123
63,0.74914516630401,0.668583162217659,0.6957264957264957,0.6434782608695652
64,0.7603357165060616,0.6841458418680868,0.7100340136054422,0.6600790513833992
65,0.7541187441715884,0.6727347952006619,0.7057291666666666,0.6426877470355731
