,variable,relative_importance,scaled_importance,percentage
0,totchg,1.0,1.0,0.015700808713355812
1,i10_npr,0.4417421519756317,0.4417421519756317,0.006935709028795546
2,i10_ndx,0.41629651188850403,0.41629651188850403,0.006536191901198656
3,dispuniform,0.21847723424434662,0.21847723424434662,0.0034302692630935163
4,died,0.19871756434440613,0.19871756434440613,0.003120026465755496
5,elective,0.18011753261089325,0.18011753261089325,0.0028279909254452624
6,hcup_ed,0.17523735761642456,0.17523735761642456,0.0027513682313694073
7,nis_stratum,0.17078857123851776,0.17078857123851776,0.0026815186874433097
8,INF002,0.16675607860088348,0.16675607860088348,0.002618205291901798
9,HEP008,0.15989571809768677,0.15989571809768677,0.002510492083936445
10,HEP005,0.15875343978405,0.15875343978405,0.0024925573906366193
11,hosp_division,0.15403205156326294,0.15403205156326294,0.0024184277773205507
12,tran_out,0.15067483484745026,0.15067483484745026,0.002365716759856295
13,FAC025,0.14283128082752228,0.14283128082752228,0.002242566618556533
14,dqtr,0.14279749989509583,0.14279749989509583,0.002242036230598346
15,HEP001,0.13877232372760773,0.13877232372760773,0.002178837709555057
16,CIR007,0.13538263738155365,0.13538263738155365,0.002125616892637388
17,amonth,0.13316860795021057,0.13316860795021057,0.00209085484005013
18,END010,0.13098840415477753,0.13098840415477753,0.0020566238773019035
19,female,0.13010022044181824,0.13010022044181824,0.0020426786747224117
20,GEN002,0.13000093400478363,0.13000093400478363,0.0020411197973667005
21,END011,0.12999117374420166,0.12999117374420166,0.002040966553382311
22,FAC010,0.12957048416137695,0.12957048416137695,0.0020343613867146787
23,CAR024,0.12465541809797287,0.12465541809797287,0.0019571908746396642
24,GIS012,0.12415550649166107,0.12415550649166107,0.0019493418581353762
25,NEO070,0.12386695295572281,0.12386695295572281,0.001944811334264047
26,DIG017,0.12335933744907379,0.12335933744907379,0.0019368413602942178
27,CAR003,0.1222958043217659,0.1222958043217659,0.0019201430301020394
28,CIR011,0.12166567891836166,0.12166567891836166,0.0019102495516777633
29,END008,0.1214178130030632,0.1214178130030632,0.0019063578563551014
30,FRS003,0.12006128579378128,0.12006128579378128,0.0018850592821277035
31,END002,0.12000570446252823,0.12000570446252823,0.0018841866102776656
32,RHB001,0.11990202218294144,0.11990202218294144,0.0018825587146389087
33,FRS001,0.11965041607618332,0.11965041607618332,0.0018786082952855874
34,FRS002,0.11959034204483032,0.11959034204483032,0.001877665084410674
35,MAM013,0.11941593140363693,0.11941593140363693,0.0018749266962957228
36,NEO074,0.11891737580299377,0.11891737580299377,0.0018670989701770522
37,GIS006,0.11891724914312363,0.11891724914312363,0.0018670969815146594
38,MST017,0.11891578137874603,0.11891578137874603,0.0018670739364269305
39,END003,0.11836133152246475,0.11836133152246475,0.0018583686252923106
40,ESA008,0.11770801246166229,0.11770801246166229,0.0018481109876898618
41,race,0.11757718026638031,0.11757718026638031,0.001846056816418191
42,CNS008,0.11756202578544617,0.11756202578544617,0.0018458188788118939
43,age,0.11688223481178284,0.11688223481178284,0.00183514561076934
44,GEN019,0.11672279238700867,0.11672279238700867,0.001832642235757167
45,INJ037,0.11659112572669983,0.11659112572669983,0.0018305749627097318
46,CNS004,0.11643795669078827,0.11643795669078827,0.001828170084976075
47,EYE009,0.11631602793931961,0.11631602793931961,0.0018262557049726074
48,CAR026,0.11619628965854645,0.11619628965854645,0.0018243757171305219
49,MAM003,0.11615113914012909,0.11615113914012909,0.001823666817477542
50,MST016,0.115990549325943,0.115990549325943,0.0018211454275236928
51,GIS028,0.11575042456388474,0.11575042456388474,0.001817375274567276
52,URN012,0.11554461717605591,0.11554461717605591,0.0018141439321391801
53,MRS004,0.1153784766793251,0.1153784766793251,0.001811535391980468
54,DIG004,0.11537457257509232,0.11537457257509232,0.001811474094386712
55,HEP003,0.11522345244884491,0.11522345244884491,0.0018091013861917633
56,pay1,0.11522278189659119,0.11522278189659119,0.0018090908579790953
57,ENT003,0.11496690660715103,0.11496690660715103,0.0018050734090051207
58,MAM004,0.11496176570653915,0.11496176570653915,0.0018049926927079993
59,GEN003,0.11479532718658447,0.11479532718658447,0.0018023794733436568
60,CAR002,0.11473740637302399,0.11473740637302399,0.0018014700697294218
61,HEP010,0.11455859988927841,0.11455859988927841,0.0017986626633314246
62,INJ016,0.11455798149108887,0.11455798149108887,0.001798652953979742
63,BLD009,0.1143859252333641,0.1143859252333641,0.0017959515315892696
64,ADM004,0.11414047330617905,0.11414047330617905,0.0017920977378322125
65,CNS014,0.11409036070108414,0.11409036070108414,0.0017913109294054894
66,ESA007,0.114070825278759,0.114070825278759,0.0017910042074764279
67,NVS021,0.11392340809106827,0.11392340809106827,0.0017886896384114346
68,INJ019,0.1138269230723381,0.1138269230723381,0.0017871747455886478
69,MAM009,0.11382662504911423,0.11382662504911423,0.0017871700663830176
70,GIS013,0.113749660551548,0.113749660551548,0.0017859616615290108
71,MST012,0.11372782289981842,0.11372782289981842,0.0017856187927364558
72,NVS003,0.11367683857679367,0.11367683857679367,0.0017848182976332643
73,END016,0.11366623640060425,0.11366623640060425,0.0017846518348929687
74,NEO023,0.11349979788064957,0.11349979788064957,0.0017820386155286262
75,CAR023,0.11345397680997849,0.11345397680997849,0.0017813191876629784
76,NVS001,0.113382987678051,0.113382987678051,0.0017802046008818578
77,INF001,0.11334295570850372,0.11334295570850372,0.001779576066585577
78,GEN021,0.11325334757566452,0.11325334757566452,0.0017781691464327078
79,CNS001,0.113249771296978,0.113249771296978,0.001778112995965145
80,NEO059,0.11324571818113327,0.11324571818113327,0.001778049358768574
81,MST006,0.11322170495986938,0.11322170495986938,0.0017776723317749182
82,zipinc_qrtl,0.11321137845516205,0.11321137845516205,0.0017775101972998307
83,EYE004,0.11317943036556244,0.11317943036556244,0.00177700858645627
84,MST024,0.11309843510389328,0.11309843510389328,0.0017757368953461145
85,BLD003,0.11308836191892624,0.11308836191892624,0.0017755787381958127
86,URN009,0.11308474093675613,0.11308474093675613,0.0017755218858474054
87,MST011,0.11305064707994461,0.11305064707994461,0.0017749865847233072
88,CAR014,0.11302028596401215,0.11302028596401215,0.0017745098906497274
89,SYM016,0.11299914121627808,0.11299914121627808,0.0017741779010102628
90,SKB007,0.11293812096118927,0.11293812096118927,0.0017732198336574733
91,NEO048,0.11274392157793045,0.11274392157793045,0.0017701707462886747
92,RES011,0.11272880434989929,0.11272880434989929,0.0017699333935830813
93,FAC020,0.11261588335037231,0.11261588335037231,0.0017681604425697874
94,INJ039,0.112515889108181,0.112515889108181,0.0017665904521007045
95,INJ054,0.11246173828840256,0.11246173828840256,0.001765740240437692
96,ENT002,0.11245159059762955,0.11245159059762955,0.0017655809134859825
97,FAC004,0.11234220862388611,0.11234220862388611,0.0017638635280395475
98,IMG004,0.11218074709177017,0.11218074709177017,0.0017613284514092298
99,SYM006,0.11208109557628632,0.11208109557628632,0.0017597638420266217
100,pl_nchs,0.11206523329019547,0.11206523329019547,0.0017595147913069527
101,ENT017,0.11196406930685043,0.11196406930685043,0.0017579264349557714
102,NEO027,0.11193796992301941,0.11193796992301941,0.001757516653522704
103,PLC001,0.11185750365257263,0.11185750365257263,0.001756253268002542
104,GNR007,0.11184898018836975,0.11184898018836975,0.0017561194427215174
105,CNS006,0.11183434724807739,0.11183434724807739,0.001755889693725073
106,EST004,0.11172539740800858,0.11172539740800858,0.0017541790931268019
107,CNS007,0.11172288656234741,0.11172288656234741,0.0017541396708193671
108,ESA009,0.11169804632663727,0.11169804632663727,0.0017537496590300876
109,CAR017,0.11163083463907242,0.11163083463907242,0.00175269438118033
110,NVS014,0.11135205626487732,0.11135205626487732,0.0017483173352536724
111,BLD006,0.11128231883049011,0.11128231883049011,0.0017472224011361988
112,CIR017,0.1112493947148323,0.1112493947148323,0.0017467054658941992
113,NEO025,0.11119168996810913,0.11119168996810913,0.0017457994547040458
114,HEP006,0.11101696640253067,0.11101696640253067,0.001743056153423183
115,DIG025,0.11078613251447678,0.11078613251447678,0.0017394318747022885
116,URN008,0.11067534238100052,0.11067534238100052,0.0017376923800092507
117,ENT015,0.11048281192779541,0.11048281192779541,0.0017346694961919817
118,ESA003,0.11031758040189743,0.11031758040189743,0.0017320752276104416
119,INJ045,0.11011498421430588,0.11011498421430588,0.0017288943036230114
120,NEO032,0.11005866527557373,0.11005866527557373,0.0017280100507390387
121,EYE006,0.10989131778478622,0.10989131778478622,0.001725382559797524
122,MRS005,0.1098702922463417,0.1098702922463417,0.0017250524418403114
123,INJ007,0.1097489595413208,0.1097489595413208,0.001723147420248104
124,CNS005,0.1095745638012886,0.1095745638012886,0.0017204092660934344
125,ADM013,0.10950632393360138,0.10950632393360138,0.0017193378449842527
126,NEO031,0.10947875678539276,0.10947875678539276,0.0017189050184634564
127,CAR007,0.10946084558963776,0.10946084558963776,0.0017186237982050796
128,MST015,0.10938245803117752,0.10938245803117752,0.0017173930501441885
129,RES014,0.10930092632770538,0.10930092632770538,0.0017161129364638983
130,SKB008,0.10925168544054031,0.10925168544054031,0.0017153398147136437
131,NEO012,0.10911673307418823,0.10911673307418823,0.0017132209534241349
132,CIR028,0.1090475469827652,0.1090475469827652,0.0017121346758370772
133,i10_serviceline,0.10897669196128845,0.10897669196128845,0.00171102219469849
134,GIS004,0.10881735384464264,0.10881735384464264,0.0017085204574082877
135,NVS019,0.10863439738750458,0.10863439738750458,0.0017056478930718897
136,NEO010,0.10858166217803955,0.10858166217803955,0.0017048199076356205
137,MST022,0.10851030051708221,0.10851030051708221,0.001703699471847462
138,NEO024,0.10825909674167633,0.10825909674167633,0.0016997553694217415
139,MAL009,0.1080879420042038,0.1080879420042038,0.0016970681016283008
