Training Logloss,Validation Logloss
,
0.4202763140122735,0.41504989126286357
0.379455249071893,0.3971211940423469
0.3524674674965669,0.3590463127931157
0.3248920779944635,0.33686280740565355
0.3069100469376087,0.31297251458673686
0.2855153017271681,0.29102524522217366
0.26234435949733104,0.26416482452816986
0.25537713067445306,0.25899339273624167
0.23207731833553738,0.2350637549389024
0.2166162673730201,0.22524086044228472
0.19367566072173642,0.19639019679780179
0.1816914558266417,0.18581196899035918
0.1669666389363778,0.1621789865618678
0.1547262839964372,0.1539604669460247
0.14404739383933635,0.14118062631906406
0.1338054589603253,0.12776997873799387
0.12463206094671897,0.11966145394930461
0.11758626150181287,0.1160737299808292
0.10972907197726653,0.10604463825717854
0.10301547039452338,0.09939057704170567
0.09253659303432417,0.08828268718619083
0.09138472903440475,0.08419466569330027
0.08221585293273075,0.07806916812545234
0.07929292859484023,0.07009112793531931
0.07215192725194186,0.06968898546418993
0.06531466763448994,0.0665415132801195
0.060329927149722046,0.05675416087965891
0.060769079291987375,0.061723355108267215
0.049721618073761825,0.04860416824124159
0.049337286607820593,0.04895434640537601
0.046012232830782235,0.04168563174956598
0.0434547176716979,0.039065737776692595
0.0413862966005877,0.041067769229915
0.03924895735765239,0.0364230425293953
0.03902915632138959,0.03595677924361883
0.034585305326117255,0.031440287120403664
0.03559924720995565,0.03151561477200786
0.03116885145126617,0.026707266161466955
0.02586309598856188,0.024597941843172422
0.024490414091580356,0.022381093833070194
0.023658186402810283,0.019102303094391874
0.021563857078716234,0.017983072845675265
0.02038436833130753,0.015918848934643497
0.018659243768627026,0.01570711049250527
0.017972846741834157,0.01690070557354368
0.01758017985803881,0.013835019713176222
0.015874380351149974,0.014170913857102974
0.014840732319145445,0.01343419144172167
0.015003913421888658,0.01351810086275471
0.014144497546365544,0.011398948058734804
