Training AUC,Validation AUC
,
0.8780381780463962,0.8844396125013291
0.9017535263248775,0.9080307060056336
0.9157960183741777,0.922172827187292
0.925576694077453,0.9272215458329248
0.9339225494469449,0.9374600526963112
0.9471863014544887,0.9460801895710285
0.9530765864190236,0.9514004981700256
0.9628688090323699,0.961114648192758
0.9702555059033054,0.96889374565363
0.9721329175286185,0.9724231739660862
0.9784528538373441,0.9785601140470958
0.9830539190454349,0.9802448818842261
0.9853500068138042,0.9859482709048765
0.9878223983450782,0.9884347772486635
0.9909251674229491,0.9909266616113289
0.9894616811199517,0.9904358139652257
0.9940996819462401,0.9949504539668474
0.9945629513863492,0.9950162312746691
0.9942119301515331,0.9956233268672998
0.9960475103976142,0.9967129962308362
0.9968999686832338,0.9978130079383696
0.996244661406107,0.997183572882705
0.9975199024764402,0.9983408811759824
0.9980191332138831,0.9985328350805689
0.9981904848500835,0.998550830759124
