,variable,relative_importance,scaled_importance,percentage
0,CIR018,1.0,1.0,0.006301423725166044
1,ESA005,0.7523199915885925,0.7523199915885925,0.004740687043913076
2,GEN002,0.7196832895278931,0.7196832895278931,0.004535029355236609
3,INF002,0.6232200860977173,0.6232200860977173,0.0039271738365361806
4,SYM003,0.6174768209457397,0.6174768209457397,0.0038909830892475896
5,NVS020,0.5944210290908813,0.5944210290908813,0.003745698775450895
6,NEO070,0.5672855973243713,0.5672855973243713,0.0035747069219247843
7,DIG018,0.5502912402153015,0.5502912402153015,0.0034676182768437476
8,CIR007,0.5048689246177673,0.5048689246177673,0.003181393019685466
9,ESA004,0.4816965162754059,0.4816965162754059,0.003035373855987674
10,RSP010,0.4741719961166382,0.4741719961166382,0.002987958666138725
11,END011,0.4673945903778076,0.4673945903778076,0.0029452513608209815
12,HEP005,0.45962730050086975,0.45962730050086975,0.0028963063761102033
13,HEP008,0.45950740575790405,0.45950740575790405,0.0028955508685323565
14,ADM006,0.4547623097896576,0.4547623097896576,0.002865650008219859
15,END010,0.4510747492313385,0.4510747492313385,0.00284241312662968
16,NVS013,0.44223690032958984,0.44223690032958984,0.0027867220958807683
17,HEP001,0.44167155027389526,0.44167155027389526,0.002783159585626791
18,DIG004,0.43401899933815,0.43401899933815,0.002734937619602244
19,HEP002,0.42547252774238586,0.42547252774238586,0.002681082680722238
20,SYM016,0.4169307053089142,0.4169307053089142,0.0026272570381838042
21,FAC025,0.4061119258403778,0.4061119258403778,0.0025590833245634297
22,CAR024,0.3972088098526001,0.3972088098526001,0.002502981018250142
23,age,0.39340969920158386,0.39340969920158386,0.0024790412122592973
24,SYM006,0.39032307267189026,0.39032307267189026,0.002459591070614359
25,XXX000,0.39000222086906433,0.39000222086906433,0.0024575692474517697
26,BLD003,0.3890454173088074,0.3890454173088074,0.002451540022796843
27,female,0.3857448101043701,0.3857448101043701,0.0024307414982513483
28,END008,0.3847429156303406,0.3847429156303406,0.0024244281366425854
29,BLD006,0.38361597061157227,0.38361597061157227,0.0024173267785643614
30,DIG025,0.3835016191005707,0.3835016191005707,0.0024166062012399275
31,END016,0.380393922328949,0.380393922328949,0.0023970232870726086
32,CIR031,0.3694259822368622,0.3694259822368622,0.0023279096491601327
33,END003,0.36810174584388733,0.36810174584388733,0.0023195650745357127
34,race0.0,0.3673219382762909,0.3673219382762909,0.0023146511766281965
35,END002,0.36686691641807556,0.36686691641807556,0.0023117838910953693
36,GIS006,0.36236611008644104,0.36236611008644104,0.00228342240329483
37,SYM017,0.36112067103385925,0.36112067103385925,0.0022755743641006427
38,GIS004,0.3583934009075165,0.3583934009075165,0.00225838867942157
39,HEP010,0.357664555311203,0.357664555311203,0.0022537959144889774
40,GEN004,0.35701438784599304,0.35701438784599304,0.0022496989337983725
41,SYM008,0.3564617335796356,0.3564617335796356,0.0022462164250925333
42,RSP002,0.34870481491088867,0.34870481491088867,0.0021973367937591077
43,ADM001,0.3476434648036957,0.3476434648036957,0.0021906487770129344
44,DIG006,0.3455750048160553,0.3455750048160553,0.0021776145341722607
45,GIS027,0.3448485732078552,0.3448485732078552,0.0021730369808016384
46,MAM002,0.3441580533981323,0.3441580533981323,0.0021686857228899532
47,race3.0,0.34414225816726685,0.34414225816726685,0.002168586190447433
48,DIG021,0.3422272503376007,0.3422272503376007,0.002156518914675696
49,INJ037,0.33560022711753845,0.33560022711753845,0.0021147592333295696
50,DIG012,0.33387473225593567,0.33387473225593567,0.0021038861590710134
51,SYM002,0.3304004967212677,0.3304004967212677,0.002081993528846042
52,CIR033,0.32961931824684143,0.32961931824684143,0.002077070992273703
53,DIG017,0.3282313346862793,0.3282313346862793,0.0020683247197350366
54,DIG020,0.32775792479515076,0.32775792479515076,0.002065341563415351
55,IMG008,0.3264486491680145,0.3264486491680145,0.002057091262915733
56,SYM010,0.32522162795066833,0.32522162795066833,0.0020493592823054656
57,END001,0.3240039646625519,0.3240039646625519,0.002041686269972465
58,CIR013,0.3224097490310669,0.3224097490310669,0.002031640441769195
59,SYM004,0.3210636079311371,0.3210636079311371,0.002023157836304676
60,CIR019,0.3210228383541107,0.3210228383541107,0.0020229009299247373
61,CIR021,0.3201909065246582,0.3201909065246582,0.0020176585749569044
62,MBD002,0.31519395112991333,0.31519395112991333,0.0019861706416788626
63,DIG008,0.3140482008457184,0.3140482008457184,0.0019789507836549206
64,MST025,0.3117685914039612,0.3117685914039612,0.0019645859986345193
65,SKN002,0.31018567085266113,0.31018567085266113,0.001954611345517504
66,CIR017,0.30944523215293884,0.30944523215293884,0.0019499455275280432
67,CIR011,0.3091793358325958,0.3091793358325958,0.0019482700021465993
68,race1.0,0.30817630887031555,0.30817630887031555,0.001941949504249505
69,NEO059,0.3066827356815338,0.3066827356815338,0.001932537866722444
70,GIS001,0.30543774366378784,0.30543774366378784,0.0019246926444841772
71,RES004,0.30231449007987976,0.30231449007987976,0.001905011700250829
72,SKN001,0.30071544647216797,0.30071544647216797,0.0018949354489236187
73,INJ007,0.29734018445014954,0.29734018445014954,0.00187366649273942
74,CNS011,0.296447217464447,0.296447217464447,0.001868039529389924
75,END007,0.29635411500930786,0.29635411500930786,0.001867452851370239
76,CIR020,0.2958708107471466,0.2958708107471466,0.0018644073464261822
77,RSP011,0.2955996096134186,0.2955996096134186,0.0018626983931678163
78,SYM011,0.2955695688724518,0.2955695688724518,0.0018625090937299668
79,SYM012,0.29479384422302246,0.29479384422302246,0.0018576209240198567
80,ESA002,0.2944677770137787,0.2944677770137787,0.0018555662363715292
81,FRS002,0.29379695653915405,0.29379695653915405,0.0018513391123174024
82,INJ020,0.29358139634132385,0.29358139634132385,0.0018499807761725936
83,GEN012,0.2932923436164856,0.2932923436164856,0.001848159332474474
84,IMG004,0.2931815981864929,0.2931815981864929,0.0018474614785944645
85,ADM002,0.2927532494068146,0.2927532494068146,0.0018447622714315535
86,GIS016,0.2921733856201172,0.2921733856201172,0.0018411083040086938
87,END009,0.29192158579826355,0.29192158579826355,0.0018395216066372727
88,MUS006,0.2912672162055969,0.2912672162055969,0.0018353981465610162
89,DIG005,0.2909814715385437,0.2909814715385437,0.0018335975483367072
90,DIG013,0.2908551096916199,0.2908551096916199,0.0018328012887965455
91,NVS016,0.2906479835510254,0.2906479835510254,0.0018314960992201015
92,ENT017,0.28828102350234985,0.28828102350234985,0.0018165808810128572
93,NEO002,0.2881428897380829,0.2881428897380829,0.0018157104416334589
94,DIG019,0.28772830963134766,0.28772830963134766,0.0018130979967128957
95,MST024,0.28719043731689453,0.28719043731689453,0.0018097086353494908
96,NVS007,0.28718051314353943,0.28718051314353943,0.0018096460989280583
97,MST014,0.2870303690433502,0.2870303690433502,0.0018086999773329322
98,BLD007,0.28675511479377747,0.28675511479377747,0.0018069654836742218
99,CNS001,0.28674080967903137,0.28674080967903137,0.0018068753410847695
100,ENP001,0.28607478737831116,0.28607478737831116,0.0018026784523575215
101,MAM009,0.28587806224823,0.28587806224823,0.0018014388039554916
102,BLD004,0.2858124077320099,0.2858124077320099,0.001801025087029318
103,MAM015,0.28577765822410583,0.28577765822410583,0.0018008061156557734
104,NCM002,0.28498971462249756,0.28498971462249756,0.0017958409491505064
105,NEO025,0.2847830057144165,0.2847830057144165,0.001794538388732921
106,RSP009,0.2844228744506836,0.2844228744506836,0.0017922690490434607
107,INJ001,0.28417500853538513,0.28417500853538513,0.0017907071408841389
108,DIG001,0.28401654958724976,0.28401654958724976,0.0017897086239088938
109,NEO010,0.28367456793785095,0.28367456793785095,0.0017875536526298008
110,CNS008,0.2836340367794037,0.2836340367794037,0.0017872982486263527
111,NEO035,0.28257250785827637,0.28257250785827637,0.0017806091050978112
112,MST008,0.2818235456943512,0.2818235456943512,0.0017758895771488013
113,CIR028,0.2816028296947479,0.2816028296947479,0.0017744987521123776
114,GEN003,0.2814498543739319,0.2814498543739319,0.0017735347897964225
115,DIG007,0.2808709144592285,0.2808709144592285,0.001769886644082465
116,MST017,0.2807784974575043,0.2807784974575043,0.0017693042853951912
117,MAL009,0.28046852350234985,0.28046852350234985,0.0017673510081599975
118,BLD001,0.27987200021743774,0.27987200021743774,0.0017635920621798383
119,NEO032,0.2796459197998047,0.2796459197998047,0.00176216743367237
120,NVS019,0.2793319523334503,0.2793319523334503,0.0017601889916309542
121,NVS015,0.27918073534965515,0.27918073534965515,0.0017592361093416195
122,CIR026,0.2779133915901184,0.2779133915901184,0.0017512500393073334
123,INJ030,0.27716803550720215,0.27716803550720215,0.001746553234802748
124,NEO044,0.27607956528663635,0.27607956528663635,0.0017396943227307381
125,MST012,0.27552932500839233,0.27552932500839233,0.0017362270255868691
126,race4.0,0.27520039677619934,0.27520039677619934,0.0017341543094206513
127,INJ045,0.2747214436531067,0.2747214436531067,0.001731136222847553
128,EST004,0.2744092643260956,0.2744092643260956,0.0017291690486298187
129,ENT003,0.27434980869293213,0.27434980869293213,0.0017287943934924078
130,DIG016,0.274298757314682,0.274298757314682,0.0017284726971263
131,MUS010,0.27382877469062805,0.27382877469062805,0.0017255111374686707
132,ADM014,0.27351880073547363,0.27351880073547363,0.001723557860233477
133,MAL008,0.2731185555458069,0.2731185555458069,0.0017210357456994274
134,DIG024,0.2719162106513977,0.2719162106513977,0.0017134592610559651
135,HEP006,0.2719004452228546,0.2719004452228546,0.0017133599164105063
136,RES005,0.27170708775520325,0.27170708775520325,0.00171214148907641
137,NEO074,0.2716068625450134,0.2716068625450134,0.00171150992755906
138,DIG002,0.2714499235153198,0.2714499235153198,0.0017105209882339444
139,SKB010,0.2712744474411011,0.2712744474411011,0.0017094152391366633
140,MUS001,0.2705553472042084,0.2705553472042084,0.001704883883843135
141,MAM004,0.270521342754364,0.270521342754364,0.0017046696073961247
142,CAR016,0.27047738432884216,0.27047738432884216,0.0017043926067306203
143,URN001,0.2698468267917633,0.2698468267917633,0.0017004191965063894
144,CNS004,0.26967892050743103,0.26967892050743103,0.0016993611478626934
145,SYM001,0.2694641947746277,0.2694641947746277,0.0016980080700356027
146,SKB008,0.26936593651771545,0.26936593651771545,0.0016973889031243025
147,ENP004,0.26904967427253723,0.26904967427253723,0.0016953960007091622
148,INJ016,0.26896342635154724,0.26896342635154724,0.0016948525160135897
149,MUS037,0.26853328943252563,0.26853328943252563,0.0016921420410269971
150,URN004,0.26845866441726685,0.26845866441726685,0.0016916717971853545
151,LYM001,0.2676745653152466,0.2676745653152466,0.0016867308565010027
152,HEP009,0.2676684260368347,0.2676684260368347,0.0016866921703063626
153,MST004,0.26762452721595764,0.26762452721595764,0.001686415545234981
154,FAC008,0.2672311067581177,0.2672311067581177,0.0016839364362279826
155,INJ039,0.26695677638053894,0.26695677638053894,0.0016822077642781742
156,URN009,0.2668125033378601,0.2668125033378601,0.001681298638704136
157,FRS001,0.2666916847229004,0.2666916847229004,0.001680537309417387
158,GIS013,0.2665899395942688,0.2665899395942688,0.0016798961702499079
159,CAR006,0.2662673890590668,0.2662673890590668,0.0016778636426548208
160,NEO063,0.26621365547180176,0.26621365547180176,0.0016775250445531908
161,MAM013,0.2661605477333069,0.2661605477333069,0.0016771903901898492
162,MRS004,0.2660878896713257,0.2660878896713257,0.0016767325409542564
163,GNR005,0.2660532593727112,0.2660532593727112,0.0016765143207689574
164,GEN022,0.26604002714157104,0.26604002714157104,0.001676430938873714
165,INJ023,0.2659139931201935,0.2659139931201935,0.0016756367451012273
166,SKN003,0.26587748527526855,0.26587748527526855,0.0016754066937010627
167,CAR026,0.265752911567688,0.265752911567688,0.0016746217019845827
168,SYM007,0.2653948962688446,0.2653948962688446,0.0016723656958864785
169,CNS013,0.2648395299911499,0.2648395299911499,0.001668866097648056
170,ADM017,0.26450076699256897,0.26450076699256897,0.0016667314084515897
171,MBD010,0.26446568965911865,0.26446568965911865,0.0016665103713103704
172,MST030,0.26431959867477417,0.26431959867477417,0.0016655897901155891
173,MST018,0.2637496292591095,0.2637496292591095,0.0016619981713171007
174,ADM013,0.26369234919548035,0.26369234919548035,0.0016616372253651691
175,ADM012,0.2636401951313019,0.2636401951313019,0.001661308580507791
176,NEO029,0.263546884059906,0.263546884059906,0.0016607205879086765
177,MBD005,0.2635074555873871,0.2635074555873871,0.0016604721323964986
178,CAR007,0.2634942829608917,0.2634942829608917,0.001660389126095378
179,INF001,0.2634229362010956,0.2634229362010956,0.001659939539930485
180,MUS015,0.2633618116378784,0.2633618116378784,0.0016595543681576378
181,PNS006,0.2629944086074829,0.2629944086074829,0.0016572392059852057
182,MBD024,0.2626807689666748,0.2626807689666748,0.001655262829711465
183,CAR003,0.2626786530017853,0.2626786530017853,0.0016552494961201084
184,NVS021,0.2625387907028198,0.2625387907028198,0.0016543681645111513
185,OST001,0.26239123940467834,0.26239123940467834,0.0016534383812603635
186,ENT013,0.2623758316040039,0.2623758316040039,0.001653341290179641
