Training AUC,Validation AUC
,
0.8858024685393404,0.8865443501467614
0.9004438941437259,0.9020167468149729
0.9125856713893691,0.9129623763583048
0.9189647674946718,0.9192512015159439
0.923962647018174,0.9245517257751568
0.9283844371873377,0.9272311311328336
0.9384712751045043,0.9362269989951345
0.9404603390694583,0.9392346864294957
0.9447064293936082,0.9432720422015202
0.9481843844741633,0.9451621887078051
0.953354348387573,0.9500151119596013
0.9555031848697021,0.9524811251093092
0.9602849262062262,0.9576558640072452
0.9620405879847653,0.9598069708475595
0.9637532024960522,0.9608594931452293
0.9682727790500852,0.9658061353493007
0.96920093643025,0.9667615726075625
0.970749261118539,0.9689032012551607
0.9718010123081043,0.9692922500627155
0.9764947990430204,0.9741929186030526
0.9778094880299769,0.9760161862728841
0.9786354786075051,0.9772600440496791
0.9776185775063551,0.976041254763899
0.9804067456243412,0.9793342623733821
0.9822995933909415,0.9809977294856477
0.9831065323720765,0.9819943570206657
0.9848647145012795,0.9834149343719307
0.9849275702753482,0.9832561082080086
0.9852084162512598,0.9838970820630784
0.9864275332189465,0.9849396832618306
0.9882488610028057,0.9873581282854782
0.9889464103233305,0.9874402430952696
0.9877832644657579,0.9862328807894927
0.988778746612383,0.987988560972948
0.9900183162659696,0.9888020025029515
0.9898898508522507,0.9887096122692813
0.991309597395481,0.9901945881822705
0.99141479183981,0.9902610241125224
0.991654974011078,0.990096085843017
0.9920773461316258,0.9908639080342476
0.9927330560206796,0.9921952840764946
0.9934020923645227,0.9929217388284882
0.993284674622085,0.9927036518147816
0.9937983832844288,0.993088094397839
0.9938040279036476,0.9929584114619873
0.994045917149487,0.9936504081114905
0.9939034086317484,0.9934636788568626
0.9943573777363398,0.9938040965634731
0.9945066420822162,0.9939645171897212
0.9951168165623081,0.9948896596637882
0.994992812088742,0.9947827421067028
0.9951858484033393,0.9941446028513238
0.9945492867375412,0.9937160468105792
0.9951576253072452,0.9939130514890862
0.9957100571847435,0.9948365109195867
0.9953586011290463,0.9945099118864686
0.9959798635416122,0.99509330793532
0.9961069278658248,0.995501933196989
0.9961025957614884,0.9957752949046653
0.9962886749419845,0.9957114278303831
0.996469294704748,0.9960190704780695
0.9964720727270454,0.9958962082977236
0.9969286990703563,0.9964202549155502
0.9966906426900636,0.9962607201017055
0.9968713027140198,0.9962042938516115
0.9972548872015048,0.996966535424701
0.996646137967635,0.9959415618927756
0.9972671427085674,0.996520971785812
0.9969373149655975,0.9961849831412183
0.9975024613277556,0.9968696275477736
0.9973186045650975,0.9964702147350996
0.9973765404214161,0.9966250547432066
0.9976195006149816,0.9967899044314714
0.9974444852102441,0.9969505908014406
0.997712189932853,0.9971940120498832
0.9975578929378873,0.9971751442456918
0.9977339551336355,0.9972344936767168
0.9979095100383553,0.9974659564577142
0.9978675015098752,0.997441950941583
0.9979387235597903,0.9974181225879328
0.9980240772883489,0.9975899701941843
0.9983063243537668,0.9978276336620052
0.9981175557255973,0.9975324809692063
0.9981513912319561,0.9976718192602546
0.9983198762712351,0.9979474840801795
0.9981106146959731,0.9976748310224259
0.9983361417930925,0.9982859529995025
0.9985749470315697,0.9983305093633915
0.9983348856438797,0.9980582992118395
0.9985505487487836,0.9983472512178149
0.9986147250899733,0.9984477023443558
0.9985941516204954,0.9984274172403188
0.9987132683852655,0.9986186641382037
0.9984496944610294,0.9984788829409539
0.9987381175934101,0.9985897866538543
0.9986698426628019,0.9983942878564332
0.9987791356965494,0.998580485623619
0.9987607524359552,0.9986777478255078
0.9988543436045433,0.9985873949603652
0.9990061283010836,0.9988711206731608
