Training Logloss,Validation Logloss
,
0.45568426870589607,0.44651872613268184
0.42662890552793253,0.4094396828200684
0.3939204672246364,0.38154889878256115
0.37841640811228666,0.3698317766887464
0.3703588731871512,0.36267292493550923
0.3599815813409479,0.3584682611666343
0.3495504010903263,0.3477714003923082
0.3534363284873383,0.3495221233730919
0.32756880117116444,0.3223775177015495
0.30396758130556695,0.2949913602149466
0.29384525813500456,0.2870771232862602
0.28785982507707697,0.2830362962085601
0.26869615619835435,0.2638446924296094
0.2668448357962809,0.265303822240939
0.24886285726545773,0.24906999706042704
0.23958455060997788,0.2392331898659411
0.23471145143722438,0.23664778446104678
0.22551754808039665,0.22718089548655435
0.21516099046119103,0.21620005158921546
0.21556114659414516,0.21695933160777106
0.20563958430728543,0.20967280377622216
0.1991228785744248,0.2029202201350326
0.18858751783880442,0.19233809772807195
0.18360530830103597,0.18712542457943554
0.17964076173283702,0.18541804619396474
